日期,最高气温,最低气温,天气
2016-01-01,12,7,晴~多云
2016-01-02,15,9,多云~小雨
2016-01-03,15,9,阴
2016-01-04,13,9,小雨~中雨
2016-01-05,10,8,小雨
2016-01-06,8,5,小雨~阴
2016-01-07,9,4,多云~阴
2016-01-08,8,3,多云
2016-01-09,9,6,多云~阴
2016-01-10,10,7,小雨~中雨
2016-02-01,4,0,阴
2016-02-02,4,0,多云
2016-02-03,7,2,晴~多云
2016-02-04,6,1,小雨~多云
2016-02-05,8,1,晴~多云
2016-02-06,6,0,多云~晴
2016-02-07,8,3,多云
2016-02-08,13,3,晴
2016-02-09,17,8,晴
2016-02-10,18,12,多云~阵雨
2016-03-01,12,5,晴~多云
2016-03-02,11,3,晴~多云
2016-03-03,16,7,多云
2016-03-04,21,12,多云
2016-03-05,23,10,阵雨
2016-03-06,23,10,阵雨
2016-03-07,16,9,多云
2016-03-08,9,5,中雨
2016-03-09,12,5,中雨
2016-03-10,8,4,阴
2016-04-01,22,14,晴~多云
2016-04-02,22,11,多云
2016-04-03,16,11,阵雨~阴
2016-04-04,17,12,阵雨~阴
2016-04-05,18,11,多云
2016-04-06,18,13,阴~中雨
2016-04-07,18,13,小雨~多云
2016-04-08,17,12,小雨~多云
2016-04-09,21,14,多云
2016-04-10,23,14,多云~阴
2016-05-01,28,20,多云~阵雨
2016-05-02,25,19,中雨~小雨
2016-05-03,26,17,晴
2016-05-04,28,20,晴~阴
2016-05-05,25,20,中雨
2016-05-06,27,18,阵雨~多云
2016-05-07,23,16,阵雨~小雨
2016-05-08,19,16,中雨~阵雨
2016-05-09,21,17,小雨
2016-05-10,19,15,小雨~多云
2016-06-01,22,18,中雨~阴
2016-06-02,22,18,小雨~多云
2016-06-03,26,20,多云~小雨
2016-06-04,21,17,中雨~小雨
2016-06-05,25,20,多云
2016-06-06,25,20,多云
2016-06-07,26,21,雷阵雨~阵雨
2016-06-08,25,21,中雨~小雨
2016-06-09,26,21,阴~多云
2016-06-10,27,23,多云~阴
2016-07-01,31,26,阵雨
2016-07-02,30,25,雷阵雨~阵雨
2016-07-03,30,26,中雨~雷阵雨
2016-07-04,32,27,阴~多云
2016-07-05,35,27,雷阵雨~多云
2016-07-06,34,27,多云
2016-07-07,32,26,阵雨~多云
2016-07-08,32,26,多云~阵雨
2016-07-09,30,26,阵雨
2016-07-10,29,26,阵雨~中雨
2016-08-01,34,28,多云
2016-08-02,34,28,雷阵雨
2016-08-03,32,26,中雨
2016-08-04,32,27,雷阵雨
2016-08-05,33,27,雷阵雨
2016-08-06,33,27,多云
2016-08-07,34,27,多云
2016-08-08,34,27,阵雨
2016-08-09,34,28,多云
2016-08-10,34,28,多云
2016-09-01,33,26,多云
2016-09-02,34,25,晴
2016-09-03,35,25,晴
2016-09-04,33,25,多云
2016-09-05,30,25,小雨
2016-09-06,27,22,阵雨
2016-09-07,24,20,小雨
2016-09-08,29,22,多云
2016-09-09,31,23,多云
2016-09-10,29,24,阴
2016-10-01,29,24,阵雨
2016-10-02,32,24,多云
2016-10-03,26,22,阴
2016-10-04,26,22,阴
2016-10-05,27,22,多云
2016-10-06,26,22,小雨
2016-10-07,25,20,小雨
2016-10-08,22,17,小雨
2016-10-09,22,18,多云
2016-10-10,22,18,多云
2016-11-01,16,10,多云
2016-11-02,17,10,晴
2016-11-03,18,12,晴
2016-11-04,20,13,晴
2016-11-05,23,15,晴
2016-11-06,23,16,多云
2016-11-07,23,14,小雨
2016-11-08,13,10,小雨
2016-11-09,14,11,阴
2016-11-10,15,9,小雨
2016-12-01,14,8,多云
2016-12-02,14,9,多云
2016-12-03,15,9,多云
2016-12-04,16,8,阴
2016-12-05,18,8,多云
2016-12-06,11,5,多云
2016-12-07,14,8,晴
2016-12-08,16,8,晴
2016-12-09,15,8,晴
2016-12-10,13,9,多云
